CP,Localidad,Provincia,,,,
1001,CABA - Retiro,Capital Federal,,,,
1002,CABA - Monserrat,Capital Federal,,,,
1003,CABA - San Nicolas,Capital Federal,,,,
1004,CABA - San Nicolas,Capital Federal,,,,
1005,CABA - San Nicolas,Capital Federal,,,,
1006,CABA - Retiro,Capital Federal,,,,
1007,CABA - Retiro,Capital Federal,,,,
1008,CABA - Monserrat,Capital Federal,,,,
1009,CABA - San Nicolas,Capital Federal,,,,
1010,CABA - San Nicolas,Capital Federal,,,,
1011,CABA - Retiro,Capital Federal,,,,
1012,CABA - Monserrat,Capital Federal,,,,
1013,CABA - San Nicolas,Capital Federal,,,,
1014,CABA - Recoleta,Capital Federal,,,,
1015,CABA - San Nicolas,Capital Federal,,,,
1016,CABA - Recoleta,Capital Federal,,,,
1017,CABA - San Nicolas,Capital Federal,,,,
1018,CABA - Recoleta,Capital Federal,,,,
1019,CABA - Recoleta,Capital Federal,,,,
1020,CABA - Recoleta,Capital Federal,,,,
1021,CABA - Recoleta,Capital Federal,,,,
1022,CABA - Recoleta,Capital Federal,,,,
1023,CABA - Balvanera,Capital Federal,,,,
1024,CABA - Balvanera,Capital Federal,,,,
1025,CABA - Recoleta,Capital Federal,,,,
1026,CABA - Balvanera,Capital Federal,,,,
1027,CABA - Balvanera,Capital Federal,,,,
1028,CABA - Balvanera,Capital Federal,,,,
1029,CABA - Balvanera,Capital Federal,,,,
1030,CABA - Balvanera,Capital Federal,,,,
1031,CABA - Balvanera,Capital Federal,,,,
1032,CABA - Balvanera,Capital Federal,,,,
1033,CABA - Monserrat,Capital Federal,,,,
1034,CABA - Balvanera,Capital Federal,,,,
1035,CABA - Monserrat,Capital Federal,,,,
1036,CABA - San Nicolas,Capital Federal,,,,
1037,CABA - San Nicolas,Capital Federal,,,,
1038,CABA - San Nicolas,Capital Federal,,,,
1039,CABA - Balvanera,Capital Federal,,,,
1040,CABA - Balvanera,Capital Federal,,,,
1041,CABA - San Nicolas,Capital Federal,,,,
1042,CABA - San Nicolas,Capital Federal,,,,
1043,CABA - San Nicolas,Capital Federal,,,,
1044,CABA - Balvanera,Capital Federal,,,,
1045,CABA - Balvanera,Capital Federal,,,,
1046,CABA - Balvanera,Capital Federal,,,,
1047,CABA - San Nicolas,Capital Federal,,,,
1048,CABA - San Nicolas,Capital Federal,,,,
1049,CABA - San Nicolas,Capital Federal,,,,
1050,CABA - Balvanera,Capital Federal,,,,
1051,CABA - Balvanera,Capital Federal,,,,
1052,CABA - Balvanera,Capital Federal,,,,
1053,CABA - San Nicolas,Capital Federal,,,,
1054,CABA - Retiro,Capital Federal,,,,
1055,CABA - San Nicolas,Capital Federal,,,,
1056,CABA - Recoleta,Capital Federal,,,,
1057,CABA - Retiro,Capital Federal,,,,
1058,CABA - Retiro,Capital Federal,,,,
1059,CABA - Retiro,Capital Federal,,,,
1060,CABA - Recoleta,Capital Federal,,,,
1061,CABA - Recoleta,Capital Federal,,,,
1062,CABA - San Nicolas,Capital Federal,,,,
1063,CABA - San Telmo,Capital Federal,,,,
1064,CABA - San Telmo,Capital Federal,,,,
1065,CABA - San Telmo,Capital Federal,,,,
1066,CABA - San Telmo,Capital Federal,,,,
1067,CABA - Monserrat,Capital Federal,,,,
1068,CABA - Constitucion,Capital Federal,,,,
1069,CABA - San Telmo,Capital Federal,,,,
1070,CABA - San Telmo,Capital Federal,,,,
1071,CABA - Constitucion,Capital Federal,,,,
1072,CABA - Constitucion,Capital Federal,,,,
1073,CABA - Constitucion,Capital Federal,,,,
1074,CABA - Constitucion,Capital Federal,,,,
1075,CABA - Constitucion,Capital Federal,,,,
1076,CABA - Constitucion,Capital Federal,,,,
1077,CABA - Constitucion,Capital Federal,,,,
1078,CABA - Constitucion,Capital Federal,,,,
1079,CABA - Monserrat,Capital Federal,,,,
1080,CABA - Balvanera,Capital Federal,,,,
1081,CABA - Balvanera,Capital Federal,,,,
1082,CABA - Balvanera,Capital Federal,,,,
1083,CABA - Balvanera,Capital Federal,,,,
